id,name,ibu,ibu_category,srm,srm_category,abv,abv_category,ebc,description,image_url,ingredients,ph,food_pairing,tagline,brewers_tips
47,AB:15,50.0,High,55.5,Black,12.8,Undefined,111.0,"A salted caramel popcorn Imperial Ale. Bourbon and Rum barrel aged, this 12.8% ale has complex and twisting flavours. Bitter caramel, wood, smoke, spice, treacle and vanilla are all present and intertwine against a smooth and lightly chewy mouthfeel. The salted caramel popcorn lends subtle hints of a smoky brininess.",https://images.punkapi.com/v2/47.png,"{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 6.5625, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.3125, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.3125, 'unit': 'kilograms'}}, {'name': 'Popcorn', 'amount': {'value': 0.00625, 'unit': 'kilograms'}}], 'hops': [{'name': 'Sorachi Ace', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}",4.4,"['Crispy bacon on flat bread', 'Glazed ham with crackling coating', 'Popcorn caramel and chocolate cake']",Salted Caramel Popcorn Strong Ale.,"By soaking some oak chips in bourbon, then steeping in the beer you not only get an authentic Bourbon taste - the beer will also gain ABV! Add salt to taste, too much will totally ruin the balance of the beer."
48,Goldings - IPA Is Dead,70.0,High,15.0,Amber Brown,6.7,Low,30.0,"This is East Kent Goldings re- invented and re-imagined and shows just what can be done with English hops if you use enough of them. In this amped up Goldings reincarnation expect to be slammed with floral lavender, a fruity riot of blackberries and spiced pears, bubblegum, plums and the illusion of thyme.",https://images.punkapi.com/v2/48.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.31, 'unit': 'kilograms'}}], 'hops': [{'name': 'Goldings', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Goldings', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Goldings', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Goldings', 'amount': {'value': 125, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}",4.4,"['Rosemary and thyme marinated venison', 'Fish and chips', 'Lavender chocolate chip cookies']",Single Hop India Pale Ale.,Take a read through each yearâ€™s hop harvest that is available. Some years are better than others.
49,AB:14,30.0,Undefined,10.0,Medium Amber,10.0,Undefined,20.0,"Think banoffee pie; loads of creamy sweet banana, and sticky warm toffee. This beer is super complex, and one for the sweet-toothed!",https://images.punkapi.com/v2/49.png,"{'malt': [{'name': 'Wheat', 'amount': {'value': 5, 'unit': 'kilograms'}}, {'name': 'Extra Pale', 'amount': {'value': 2, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 2, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Bramling Cross', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3638 - Bavarian Wheatâ„¢'}",4.4,"['Sweet pork Chinese dumplings', 'Caramelised onion venison burger', 'Banoffee pie']",Oak-Aged Imperial Weizenbock.,Boil for even longer to get more caramelised flavours in the beer.
50,Lost Dog (w/Lost Abbey),35.0,Undefined,40.0,Black,10.0,Undefined,80.0,"Our first beer aged in rum casks, Lost Dog saw us brew a collaboration imperial porter with our friends at Lost Abbey. The base beer was packed with toffee, chocolate and roasty notes, balanced with a subtle spicy hop character. The rum casks add a warming, spiced vanilla edge.",https://images.punkapi.com/v2/50.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.69, 'unit': 'kilograms'}}, {'name': 'Pale Chocolate', 'amount': {'value': 0.23, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.7000000000000001, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.35000000000000003, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.47000000000000003, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.35000000000000003, 'unit': 'kilograms'}}], 'hops': [{'name': 'First Gold', 'amount': {'value': 35, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}",4.4,"['Beef satay skewers', 'Venison & cranberry pie', 'Blackberry mocha gateaux']",Rum-Aged Imperial Porter - Lost Abbey Collab.,Ageing in barrels brings the ABV up. Recreate rum cask ageing by soaking oak chips in rum then adding to the maturing beer.
51,TM10,20.0,Low,7.0,Pale Amber,5.5,Low,14.0,Brewed for the Tate Modernâ€™s 10th Anniversary. A saison style beer brewed with ginger and orange peel. Very limited batch of 4000 cork and caged bottles with a silk screened label designed by Johanna Basford. Only available at the Tate Modern.,https://images.punkapi.com/v2/51.png,"{'malt': [{'name': 'Pale Ale', 'amount': {'value': 5.3, 'unit': 'kilograms'}}], 'hops': [{'name': 'Bobek', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Bobek', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Bobek', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Ginger', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Orange Peel', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3711 - French Saisonâ„¢'}",4.2,"['Tom yum soup', 'Andhra chicken pickle curry', 'Butterscotch tart']",Liquid Art.,"For a fresh and fiery hit, put some ginger into the cold conditioning phase as well."
52,Paradox Islay,55.0,High,152.0,Black,10.0,Undefined,300.0,"In 2006 James and Martin hijacked a beer dinner run by Michael Jackson, the acclaimed beer and whisky writer, and convinced him to taste one of their home brews. This was a defining moment in BrewDog prehistory, and that beer was the first incarnation of the ubiquitous Paradox. Aged in a variety of casks over the years, Paradox is dark, decadent and encapsulating. Can be enjoyed fresh; phenomenal when aged.",https://images.punkapi.com/v2/52.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.5, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.55, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.33, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1.35, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.55, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.18, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.33, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}",4.4,"['Ancho chilli beef taco', 'Chocolate gateaux', 'Rum poached pears with dark chocolate sauce']",Ubiquitous Imperial Stout.,"The beauty of this beer is in how brilliantly it lends itself to infusing or ageing. Experiment with different additions when the beer is ageing, taste it regularly to gauge its progress, and make sure you package it at its peak."
53,Baby Dogma,35.0,Undefined,20.0,Brown,4.5,Low,40.0,"A baby Scotch ale with dry and toasty malt flavours and hints of smoke. Toffee, biscuit and fudge abound with a spicy bitterness from the pan-global hops.",https://images.punkapi.com/v2/keg.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 1.75, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.48, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.56, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.56, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Weyermann Beech Smoked', 'amount': {'value': 0.06, 'unit': 'kilograms'}}], 'hops': [{'name': 'First Gold', 'amount': {'value': 18.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Hallertauer MittelfrÃ¼h', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}",4.4,"['French onion soup', 'Braised pheasant', 'Caramel sauce and hot fudge']",Session Scotch Ale.,The addition of Weyermann Beech Smoked malt creates a beer with a delicate smoke character.
54,Albino Squid Assasin,65.0,High,30.0,Deep Brown,7.4,Low,60.0,"This tentacled terminator packs a punch - ten punches to be precise. Each hop addition adds to the intense layers of depth in this red rye IPA. Toasty caramel & cinder toffee from crystal malts, cacao richness from intensely roasted malt and the spiciness of rye. Zesty pithiness from Citra and the robust resin of Chinook. This small batch exclusive brew is up-front intensity matched with twisted complexity. The can features awesome custom art from Joe Wilson.",https://images.punkapi.com/v2/54.png,"{'malt': [{'name': 'Pale Ale', 'amount': {'value': 5, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.5, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Chinook', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 6.25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'fv', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'fv', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}",4.2,"['Rocket and mozzarella salad with a cracked pepper dressing', 'Fried halibut with sweet potato fritters', 'Grapefruit and blood orange tart']",Red Rye IPA,20% specialty malts in this grist can create problems in the run off. Be careful not to pull the bed down onto the plates.
55,Amarillo - IPA Is Dead,70.0,High,15.0,Amber Brown,7.2,Low,30.0,"Citrus fruit. Lots of citrus fruit. Think blood orange, orange zest and grapefruit, tangerine and lemon; the fruit is balanced by floral notes in the most classic of new wave IPA hops. Amarillo adds a zesty, pithy character that sits beautifully alongside hints of toffee and honeycomb.",https://images.punkapi.com/v2/55.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.88, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 250, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}",4.4,"['Bratwurst sausage with spicy mustard', 'Fried American bacon with chilli flakes added to the top', 'Dark chocolate chip cookies']",Single Hop India Pale Ale.,"Use the freshest hops for the most impact. It seems obvious but in a single hop beer, you want the hops to be at their best."
56,Black Eyed King Imp,85.0,High,125.0,Black,9.5,Undefined,250.0,"An early Cocoa Psycho recipe that we loved, but didn't fit what we were looking for. We locked this chocolate coffee stout away in barrels for two years, imparting toasted marshmallow, spicy vanilla, molasses and boozy warmth.",https://images.punkapi.com/v2/56.png,"{'malt': [{'name': 'Extra Pale - Spring Blend', 'amount': {'value': 6.25, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 1.56, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.31, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}",4.4,"['Beef chilli made with cocoa powder', 'Dark chocolate covered bacon', 'Rich espresso tiramisu']",Barrel-Aged Prototype Cocoa Psycho.,There is a huge amount of roasted malts in this grist. Be careful not to pulverise the malt into powder during the milling process.
57,Prototype 27,149.0,High,9.8,Medium Amber,9.2,Undefined,19.5,"Hardcore IPA with raspberries aged in Caol Ila casks. Full-bodied and compelling, the robust malt base provides an initial layer of honey, cinnamon and biscuity malt sweetness. Soon the Scottish berries are in on the act, a dominating tug of war between sweet and tart with an overbearing zest. As the beer slips back across your tongue the hops demand and definitely get your attention. At 100 IBUs the bitterness smashes into the back of your throat as the resinous, spiced orange peel flavours add depth to the berry fruitiness.",https://images.punkapi.com/v2/57.png,"{'malt': [{'name': 'Pale Ale', 'amount': {'value': 8.13, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.28, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.56, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}",4.4,"['Strong blue cheese', 'Cranachan', 'Chicago style hot links']",Vibrant Smoky Pink IPA.,Soak some oak chips in Caol Ila whisky to get barrel character. Freeze raspberries before adding them to secondary.
58,Coffee Imperial Stout,65.0,High,49.0,Black,9.0,Medium,97.0,"This beer was released as both as ""Danish Beerhouse Coffee Imperial Stout"" and ""BrewDog Coffee Imperial Stout"". Deep, dark, roasted flavours make this a perfect Sunday brunch beer.",https://images.punkapi.com/v2/58.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 7.5, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.31, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Coffee', 'amount': {'value': 9.4, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Coffee', 'amount': {'value': 9.4, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}",4.4,"['Gooey chocolate brownies', 'Chicken fried steak with cheesy mash', 'Spicy chicken empanadas']",Beats a Cup of Joe.,Grind the coffee as if making an espresso to really get the most out of it.
59,Mandarina Bavaria - IPA Is Dead,100.0,High,6.0,Deep Gold,7.2,Low,12.0,"From the central European plains of Germany, comes something very different. A blast of tangerine and orange, Mandarina Bavaria brings a highly distinctive backbone of flavour. This is down to its parent â€“ Cascade â€“ and a frankly enormous 70% myrcene oil content. If equate Germany solely with earthy, spicy Noble hops, Mandarina Bavaria will make you think again.",https://images.punkapi.com/v2/59.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.39, 'unit': 'kilograms'}}], 'hops': [{'name': 'Mandarina Bavaria', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}",4.4,"['Lavender and thyme roast beef', 'Spicy kung po chicken', 'Caramel and rose essence cheesecake']",Single Hop India Pale Ale.,We've mentioned the importance of fresh hops previously but this one really demands that your hops are the absolute freshest.
60,Dogma,30.0,Undefined,23.0,Ruby Brown,7.5,Low,46.0,"Brewed with over ten different types of malt, and blended together with Scottish heather honey, it is a pantheon to the gods of intricacy and nuance; a beer that celebratesa confluence of ideas. Complex, indulgent and encapsulating, Dogma gives more than a cursory nod to history, to make you ponder the very nature of beer itself.",https://images.punkapi.com/v2/60.png,"{'malt': [{'name': 'Pale Ale', 'amount': {'value': 3.5, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.75, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Smoked Malt', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}], 'yeast': 'Wyeast 2007 - Pilsen Lagerâ„¢'}",4.5,"['Mature cheddar with red onion chutney', 'Honey glazed ham', 'Chocolate caramel drizzled sponge cake']",Revamped Wee Heavy. Luscious. Malty. Fruity.,There's a lot of specialty malt in the mash. Make sure you take the run off nice and steady â€“ increase the flow too much and pull in the bed at your peril.
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),30.0,Undefined,7.5,Pale Amber,4.6,Low,15.0,"A session IPA brewed with a diverse grain bill, hopped with Simcoe and Amarillo and fermented with saison yeast, for an incredible level of depth in a low ABV beer. Spicy, fruity, complex, refreshing and dry.",https://images.punkapi.com/v2/61.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 2.38, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.44, 'unit': 'kilograms'}}, {'name': 'Torrified Wheat', 'amount': {'value': 0.44, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.19, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.44, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Simcoe', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3711 - French Saisonâ„¢'}",4.4,"['Halibut with caper brown butter', 'Creamy gorgonzola and satsuma salad', 'Spicy Daal with garlic naan bread']",Session Farmhouse IPA - Stone / Magic Rock Collab.,Start the fermentation off at 20 ÌŠC and allow it to rise as high as 25 ÌŠC. This will increase the fruity character of the yeast.
62,AB:08,65.0,High,11.5,Deep Amber,10.43,Undefined,23.0,"Flavours and aromas you'd expect from a Stout, but brewed without dark malts. The full mouthfeel comes courtesy of wheat and oats, while smoked malt and the twist additions add the complex flavours normally provided by highly kilned malts.",https://images.punkapi.com/v2/62.png,"{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 9.25, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Smoked Peaty', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'First Gold', 'amount': {'value': 81.25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Coffee Beans', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}",4.4,"['Caramelised scallops with burnt apple puree', 'Blackened Cajun chicken', 'Blondies with chocolate fudge sauce']",Deconstructed Blonde Imperial Stout.,Add all twist ingredients to Fermentation Vessel once fermentation is complete. Donâ€™t be afraid to add a little at a time and taste as you go. During mashing in first start with pale malt. Afterwards mix all malts evenly. Go with flaked oats during second half of mashing in process.
63,Sunk Punk,68.0,High,7.0,Pale Amber,7.1,Low,14.0,"It's rumoured just a drop can calm the fiercest of storms. A balance of sweet, salt and savoury, citrus, spruce and caramel. Fermented at the bottom of the North Sea, which just so happens to be the perfect temperature for lagers to ferment.",https://images.punkapi.com/v2/63.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.21, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Ahtanum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Nelson Sauvin', 'amount': {'value': 140, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lagerâ„¢'}",4.4,"['Salt baked cod with lemon and dill butter', 'Beef, oyster and ale pie', 'Apple and rosemary tart']",Ocean Fermented Lager.,Keep the fermentation temperature as steady as possible to allow the lager yeast to do its thing.
64,Sub Hop,35.0,Undefined,7.5,Pale Amber,8.0,Low,15.0,"Brewed for the opening of our first bar in Italy, BrewDog Firenze. A mega-hoppy Imperial Pilsner, with toasty malt complexity and tropical New World hops.",https://images.punkapi.com/v2/64.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.25, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Dextrose', 'amount': {'value': 0.38, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Hallertauer MittelfrÃ¼h', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Pacifica', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Pacific Jade', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Pacifica', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Pacific Jade', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Pacifica', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 2007 - Pilsen Lagerâ„¢'}",4.4,"['Seared lemon and herb salmon', 'Crab linguine', 'Almond biscotti']",Hopped-Up Imperial Pilsner.,Sit this beer aside for a month to allow it to mellow.
