id,name,ibu,ibu_category,ibu_category_nbr,srm,srm_category,srm_category_nbr,abv,abv_category,abv_category_nbr,ebc,attenuation_level,attenuation_category,attenuation_category_nbr,description,image_url,ph,tagline,brewers_tips,outcome,malts_name,amount.unit_x,hops_name,hops_add,hops_attribute,amount.unit_y,food_pairing
11,Misspent Youth,30.0,IBU Medium,2,60.0,Black,12,7.3,ABV Low,1,120.0,74.7,Atten Medium,2,"The brainchild of our small batch brewer, George Woods. A dangerously drinkable milk sugar- infused Scotch Ale.",https://images.punkapi.com/v2/keg.png,4.4,Milk & Honey Scotch Ale.,"Lots of malt in this one. Mash-in in stages, and spread the pale ale malt throughout the mash to provide stability. If the mash starts to sink, stop, wait a few minutes while mixing, then start again.",IBU Medium Black ABV Low Atten Medium,"Pale Ale,Caramalt,Dark Crystal,Smoked Weyermann,Flaked Oats,Brown,Amber,Chocolate,Munich,Crystal 150","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","First Gold,Fuggles,Honey,Lactose,First Gold,Fuggles","start,start,middle,middle,end,end","bitter,bitter,Flavour,Flavour,aroma,aroma","grams,grams,grams,grams,grams,grams","Roasted garlic and chilli infused camembert cheese,Korean style chicken wings,Chocolate milk shake"
12,Arcade Nation,60.0,IBU High,3,100.0,Black,12,5.3,ABV Low,1,200.0,77.0,Atten Medium,2,"Running the knife-edge between an India Pale Ale and a Stout, this particular style is one we truly love. Black IPAs are a great showcase for the skill of our brew team, balancing so many complex and twisting flavours in the same moment. The citrus, mango and pine from the hops â€“ three of our all-time favourites â€“ play off against the roasty dryness from the malt bill at each and every turn.",https://images.punkapi.com/v2/12.png,4.2,Seasonal Black IPA.,Be as accurate as possible when weighing out your malts to ensure you strike the right balance.,IBU High Black ABV Low Atten Medium,"Pale Ale,Caramalt,Crystal 150,Carafa Special Malt Type 1","kilograms,kilograms,kilograms,kilograms","Simcoe,Simcoe,Simcoe,Amarillo,Citra,Simcoe,Amarillo,Citra","start,middle,end,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams","King prawn kebabs,Halibut with a mango and tomato salad,Mint chocloate ice cream"
13,Movember,50.0,IBU High,3,70.0,Black,12,4.5,ABV Low,1,140.0,74.5,Atten Medium,2,"A deliciously robust, black malted beer with a decadent dark, dry cocoa flavour that provides an enticing backdrop to the Cascade hops.",https://images.punkapi.com/v2/13.png,5.2,Moustache-Worthy Beer.,"If you canâ€™t find really fresh cascade, substitute it for Amarillo or Ahtanum.",IBU High Black ABV Low Atten Medium,"Maris Otter Extra Pale,Caramalt,Crystal 150,Carafa Special Malt Type 1,Carafa Special Malt Type 3","kilograms,kilograms,kilograms,kilograms,kilograms","Cascade,Cascade,Cascade","start,end,dry hop","bitter,flavour,aroma","grams,grams,grams","Vegetable egg scramble,Margherita pizza,Fresh berry crisp tart"
14,Alpha Dog,42.0,IBU High,3,31.0,Ruby Brown,10,4.5,ABV Low,1,62.0,72.8,Atten Medium,2,A fusion of caramel malt flavours and punchy New Zealand hops. A session beer you can get your teeth into.,https://images.punkapi.com/v2/14.png,4.4,Existential Red Ale.,"Crush the malt as close to brewing time as possible. The fresher the malt, the more intense caramel flavours will be released in the wort.",IBU High Ruby Brown ABV Low Atten Medium,"Maris Otter Extra Pale,Caramalt,Munich,Crystal 150,Dark Crystal 350-400","kilograms,kilograms,kilograms,kilograms,kilograms","Nelson Sauvin,Amarillo,Nelson Sauvin","start,end,end","bitter,flavour,flavour","grams,grams,grams","Pastrami,Swiss and horseradish sandwich,Sharp cheddar cheese and onion/ raisin chutney,Peanut brittle"
15,Mixtape 8,50.0,IBU High,3,20.0,Brown,9,14.5,ABV Medium,2,40.0,85.0,Atten High,3,"This recipe is for the Belgian Tripel base. A blend of two huge oak aged beers â€“ half a hopped up Belgian Tripel, and half a Triple India Pale Ale. Both aged in single grain whisky barrels for two years and blended, each beer brings its own character to the mix. The Belgian Tripel comes loaded with complex spicy, fruity esters, and punchy citrus hop character.",https://images.punkapi.com/v2/15.png,4.4,"An Epic Fusion Of Old Belgian, American New Wave, And Scotch Whisky.",Brew twice as much Belgian Tripel as you were planning on ageing - it's awesome on its own too!,IBU High Brown ABV Medium Atten High,"Pale Ale - Tipple,Caramalt,Crystal","kilograms,kilograms,kilograms","Columbus Extract,Centennial,Cascade,Simcoe","start,end,end,end","bitter,flavour,flavour,flavour","grams,grams,grams,grams","Coriander & chilli crab cakes,Goats cheese salad with walnuts, radish and blood orange,Pistachio cake"
16,Libertine Porter,45.0,IBU High,3,109.5,Black,12,6.1,ABV Low,1,219.0,70.1,Atten Medium,2,"An avalanche of cross-continental hop varieties give this porter a complex spicy, resinous and citrusy aroma, with a huge malt bill providing a complex roasty counterpoint. Digging deeper into the flavour draws out cinder toffee, bitter chocolate and hints of woodsmoke.",https://images.punkapi.com/v2/16.png,4.4,Dry-Hopped Aggressive Porter.,Mash in at a higher temperature to leave more unfermentable sugars in the wort. This gives the beer a sweeter porter profile.,IBU High Black ABV Low Atten Medium,"Extra Pale - Spring Blend,Caramalt,Crystal 150,Chocolate,Roasted Barley,Wheat,Flaked Oats,Smoked Malt","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Columbus,Columbus,Willamette,Galena,Columbus,Galena,Simcoe","start,end,end,end,dry hop,dry hop,dry hop","bitter,bitter,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Blue cheese beef burger,Glazed short ribs,Chocolate cake"
17,AB:06,150.0,IBU High,3,35.0,Deep Brown,11,11.2,ABV Medium,2,70.0,87.0,Atten High,3,"Our sixth Abstrakt, this imperial black IPA combined dark malts with a monumental triple dry-hop, using an all-star team of some of our favourite American hops. Roasty and resinous.",https://images.punkapi.com/v2/17.png,4.641486068111455,Imperial Black IPA.,Boil down to desired OG (about 17 litres).,IBU High Deep Brown ABV Medium Atten High,"Pale Ale,Crystal 150,Caramalt,Carafa Special Malt Type 1,Carafa Special Malt Type 3","kilograms,kilograms,kilograms,kilograms,kilograms","Hop Extract,Amarillo,Chinook,Cascade,Centennial,Columbus,Chinook,Cascade,Centennial,Columbus,Amarillo","start,start,end,end,end,end,dry hop,dry hop,dry hop,dry hop,dry hop","bitter,bitter,flavour,flavour,flavour,flavour,aroma,aroma,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Coffee dusted venison loin,Memphis-style beef short ribs,Chocolate orange brownies"
18,Russian Doll â€“ India Pale Ale,70.0,IBU High,3,12.5,Medium Amber,6,6.0,ABV Low,1,25.0,79.3,Atten Medium,2,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each",https://images.punkapi.com/v2/18.png,5.2,Nesting Hop Bomb.,Create balance through experimentation with the hop amounts and malt backbone.,IBU High Medium Amber ABV Low Atten Medium,"Extra Pale,Caramalt,Dark Crystal","kilograms,kilograms,kilograms","Cascade,Centennial,Simcoe,Simcoe,Citra,Simcoe,Cascade,Centennial,Citra","start,middle,middle,end,end,dry hop,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,aroma,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams","Spicy chicken skewers,Fish tacos with hot sauce,Lemon pound cake with a ice sugar glaze"
19,Hello My Name Is Mette-Marit,70.0,IBU High,3,33.58188087774295,Ruby Brown,10,8.2,ABV Low,1,66.22852664576803,83.0,Atten High,3,"We sent this beer to Norway where it was known as 'Hello, my name is Censoredâ€™. You can make up your own mind as to why. This brew was a red berry explosion, with a reisnous bitter edge layered with dry berry tartness.",https://images.punkapi.com/v2/19.png,4.4,Lingonberry Double IPA.,"Using crushed cranberries will dry out the beer further, drawing out their natural astringent character.",IBU High Ruby Brown ABV Low Atten High,"Extra Pale,Caramalt","kilograms,kilograms","Tomahawk,Motueka,Galena,Mt.Hood,Challenger,Galena,Nelson Sauvin","start,start,middle,middle,dry hop,dry hop,dry hop","bitter,bitter,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Fårikål (mutton stew) with a spicy twist,Fenalår (salted cured lamb),Krumkake with lingonberry jam"
20,Rabiator,26.0,IBU Medium,2,12.0,Medium Amber,6,10.27,ABV Medium,2,24.0,85.0,Atten High,3,"Imperial Wheat beer / Weizenbock brewed by a homesick German in leather trousers. Think banana bread, bubble gum and David Hasselhoff.",https://images.punkapi.com/v2/keg.png,4.4,Imperial Wheat Beer,If you are struggling to get that authentic head retention increase your mash temperature to about 70Â°C.,IBU Medium Medium Amber ABV Medium Atten High,"Extra Pale,Wheat,Crystal","kilograms,kilograms,kilograms","Columbus,Hersbrucker","start,middle","bitter,flavour","grams,grams","Grilled portabello mushroom burger,Chicken sausages with creamy mash,Caramel and banana meringue pie"
21,Vice Bier,25.0,IBU Medium,2,15.0,Deep Amber,8,4.3,ABV Low,1,30.0,81.8,Atten Medium,2,"Our take on the classic German Kristallweizen. A clear German wheat beer, layers of bubblegum and vanilla perfectly balanced with the American and New Zealand hops.",https://images.punkapi.com/v2/keg.png,4.0,Hoppy Wheat Bier.,Ferment at higher or lower temperatures to select the esters that will create clove- like or banana-like flavours.,IBU Medium Deep Amber ABV Low Atten Medium,"Extra Pale,Wheat,Caramalt","kilograms,kilograms,kilograms","Waimea,Amarillo,Nelson Sauvin,Motueka,Simcoe,Citra,Waimea","start,middle,middle,middle,end,end,end","bitter,flavour,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams","Citrus salad with balsamic dressing,Lobster,Ginger and orange cookies"
22,Devine Rebel (w/ Mikkeller),100.0,IBU High,3,18.0,Amber Brown,7,12.5,ABV Medium,2,36.0,68.0,Atten Low,1,"Two of Europe's most experimental, boundary-pushing brewers, BrewDog and Mikkeller, combined forces to produce a rebellious beer that combined their respective talents and brewing skills. The 12.5% Barley Wine fermented well, and the champagne yeast drew it ever closer to 12.5%. The beer was brewed with a single hop variety and was going to be partially aged in oak casks.",https://images.punkapi.com/v2/22.png,4.4,Oak-aged Barley Wine.,Rack off to a secondary fermenter before pitching in some champagne.,IBU High Amber Brown ABV Medium Atten Low,"Extra Pale,Caramalt,Munich,Amber","kilograms,kilograms,kilograms,kilograms","Nelson Sauvin,Nelson Sauvin","start,end","bitter,flavour","grams,grams","Stilton on gingerbread biscuits,Pot roasted artichokes,Lamb chops with caramelised figs"
23,Storm,60.0,IBU High,3,6.0,Deep Gold,4,8.0,ABV Low,1,12.0,86.0,Atten High,3,"Dark and powerful Islay magic infuses this tropical sensation of an IPA. Using the original Punk IPA as a base, we boosted the ABV to 8% giving it some extra backbone to stand up to the peated smoke imported directly from Islay.",https://images.punkapi.com/v2/23.png,4.4,Islay Whisky Aged IPA.,"After primary fermentation is complete, rack off into a secondary fermeter and add the oak chips to replicate the authentic Islay barrel experience.",IBU High Deep Gold ABV Low Atten High,Extra Pale,kilograms,"Ahtanum,Chinook,Crystal,Chinook,Ahtanum,Chinook,Crystal,Motueka","start,start,middle,middle,end,end,end,end","bitter,bitter,flavour,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams,grams","Oysters,Hickory smoked ham,Rocky Road"
24,The End Of History,65.24375,IBU High,3,33.58188087774295,Ruby Brown,10,55.0,ABV High,3,66.22852664576803,100.0,Atten High,3,"The End of History: The name derives from the famous work of philosopher Francis Fukuyama, this is to beer what democracy is to history. Complexity defined. Floral, grapefruit, caramel and cloves are intensified by boozy heat.",https://images.punkapi.com/v2/24.png,4.4,The World's Strongest Beer.,You'll have to get this one all the way down to -70Â°C. Taxidermy is not optional.,IBU High Ruby Brown ABV High Atten High,Extra Pale,kilograms,"Nelson Sauvin,Centennial,Nelson Sauvin,Amarillo,Centennial","start,start,end,end,end","bitter,bitter,flavour,flavour,flavour","grams,grams,grams,grams,grams","Roasted wood pigeon with black pudding,Pan seared venison fillet with juniper sauce,Apricot coconut cake"
25,Bad Pixie,45.0,IBU High,3,4.0,Pale Gold,3,4.7,ABV Low,1,8.0,79.0,Atten Medium,2,"2008 Prototype beer, a 4.7% wheat ale with crushed juniper berries and citrus peel.",https://images.punkapi.com/v2/25.png,4.4,Spiced Wheat Beer.,Make sure you have plenty of room in the fermenter. Beers containing wheat can often foam aggressively during fermentation.,IBU High Pale Gold ABV Low Atten Medium,"Wheat,Extra Pale","kilograms,kilograms","First Gold,First Gold,Sorachi Ace","start,end,end","bitter,flavour,flavour","grams,grams,grams","Poached sole fillet with capers,Summer fruit salad,Banana split"
26,Skull Candy,33.0,IBU Medium,2,25.0,Ruby Brown,10,3.5,ABV Low,1,50.0,68.4,Atten Low,1,"The first beer that we brewed on our newly commissioned 5000 litre brewhouse in Fraserburgh 2009. A beer with the malt and body of an English bitter, but the heart and soul of vibrant citrus US hops.",https://images.punkapi.com/v2/keg.png,4.4,Pacific Hopped Amber Bitter.,Make sure your hops are well broken up and mixed in when added to the kettle for aroma additions. The wort is not boiling so is not agitating the hops to allow mixing. If the hops aren't steeped properly in the wort you won't get the maximum flavour impact.,IBU Medium Ruby Brown ABV Low Atten Low,"Extra Pale,Caramalt,Crystal 120","kilograms,kilograms,kilograms","Cascade,Cascade,Centennial,Amarillo,Simcoe","start,end,end,end,end","bitter,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams","Haggis bon bons,Rosemary and lemon roast chicken,Oatmeal and cranberry cookies"
27,Dog B,90.0,IBU High,3,50.0,Black,12,15.0,ABV Medium,2,100.0,98.0,Atten High,3,"Our anniversary stout was based on AB:04, one of our most sought after beers ever. This beer is slightly different each year, with subtle variations coming into play purely down to environmental and fermentation factors. What doesn't change is the rich dark chocolate, bitter coffee and chilli warmth of this monumental Stout.",https://images.punkapi.com/v2/27.png,4.4,"Cacao, Coffee Chili Anniversary Stout.","Be really careful when mashing, as this amount of malts can get tough to sparge! Add honey into the boil, and naga chili and vanilla in maturation (soak them in some neutral spirit to sanitise).",IBU High Black ABV Medium Atten High,"Extra Pale,Wheat,Flaked Oats,Dark Crystal,Carafa Special Malt Type 1,Carafa Special Malt Type 3,Honey","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Chinook,Cascade,Fuggles,Coffee,Fuggles,Coffee","start,start,15,15,0,0","bitter,bitter,bitter,twist, aroma,twist","grams,grams,grams,grams,grams,grams","Blackened cajun beef,Blue cheese,Flourless chocolate cheesecake"
28,HBC 369,67.0,IBU High,3,9.5,Pale Amber,5,6.7,ABV Low,1,19.0,79.7,Atten Medium,2,"HBC 369 brings rich fruity flavours with the tiniest layer of candy coating on top. HBC 369 (the hop) can bring notes of blueberries, pear, and possibly even sweet potato. HBC 369 (the beer) was balanced, with just one hop providing a complex aroma, and a dry bitterness.",https://images.punkapi.com/v2/28.png,4.4,Single Hop India Pale Ale â€“ 2012.,HBC 369 is now known as Mosaic!,IBU High Pale Amber ABV Low Atten Medium,"Extra Pale - Spring Blend,Caramalt,Crystal 150","kilograms,kilograms,kilograms","HBC 369,HBC 369,HBC 369","start,end,dry hop","bitter,flavour,aroma","grams,grams,grams","Spicy jalapeño & seared steak fajitas,Grilled spicy corn with feta crumbles,Blueberry pie"
29,10 Heads High,70.0,IBU High,3,45.0,Black,12,7.8,ABV Low,1,90.0,79.7,Atten Medium,2,"10 Heads High is loosely based on our awesome 2011 Prototype beer Hops Kill Nazis. This is an uncompromising 7.8% Imperial Red Ale loaded high with American Hops. Think of this as an Imperial India Red Ale, or a super-charged version of 5am Saint. Either way this is a seriously good beer!",https://images.punkapi.com/v2/29.png,4.4,Imperial Red Ale.,"Achieve the red colour by using the ratio of Caramalt, Crystal and Dark Crystal malts. The trick is to get the colour, without too much dried fruit character.",IBU High Black ABV Low Atten Medium,"Extra Pale,Caramalt,Crystal 150,Dark Crystal","kilograms,kilograms,kilograms,kilograms","Chinook,Chinook,Centennial,Chinook,Centennial,Chinook","start,middle,middle,end,end,dry hop","bitter,bitter,bitter,flavour,flavour,aroma","grams,grams,grams,grams,grams,grams","Arrabiata pasta,Mulled cheddar,Toasted almond cake"
30,Dana - IPA Is Dead,70.0,IBU High,3,15.0,Deep Amber,8,6.7,ABV Low,1,30.0,77.3,Atten Medium,2,"Hailing from Slovenia, Dana was originally cross bred from the German Hallertau Magnum and native Slovenian varieties. Like any good faux noble hop should, it infuses a rustic, musty spiciness into a toasty beast of a malt base.",https://images.punkapi.com/v2/30.png,4.4,Single Hop India Pale Ale.,"Noble hops (and their offspring) have a fundamentally different profile to many other hops, down to their different oil fractions. Chill your hops to retain all of the spicy, delicate volatile hop oils!",IBU High Deep Amber ABV Low Atten Medium,"Extra Pale,Caramalt,Dark Crystal,Munich","kilograms,kilograms,kilograms,kilograms","Dana,Dana,Dana,Dana","start,middle,end,dry hop","bitter,flavour,flavour,aroma","grams,grams,grams,grams","Spicy Asian-style noodles,Smokey chipotle beef brisket tostada,Sweet potato pie"
31,Nanny State,55.0,IBU High,3,15.0,Deep Amber,8,0.5,ABV Low,1,30.0,28.6,Atten Low,1,"Brewing a full flavoured craft beer at 0.5% is no easy task. Packed with loads of Centennial, Amarillo, Columbus, Cascade and Simcoe hops, dry hopped to the brink and back and sitting at 55 IBUs, Nanny State is a force to be reckoned with. With a backbone of 8 different specialty malts, Nanny State will tantalise your taste buds and leave you yearning for more.",https://images.punkapi.com/v2/31.png,4.4,Alcohol Free Hoppy Ale.,"Get hops in every stage of the brewing process - mash, run off boil and flame off. There's not too much malt body, so the more hops the better.",IBU High Deep Amber ABV Low Atten Low,"Munich,Caramalt,Crystal 150,Amber,Dark Crystal,Chocolate,Wheat,Rye","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Amarillo,Simcoe,Centennial,Amarillo,Simcoe,Centennial,Amarillo,Simcoe,Cascade,Ahtanum,Centennial,Cascade,Ahtanum,Simcoe,Columbus","start,start,start,middle,middle,middle,end,end,end,end,dry hop,dry hop,dry hop,dry hop,dry hop","bitter,bitter,bitter,flavour,flavour,flavour,flavour,flavour,flavour,flavour,aroma,aroma,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams",Earthy mushroom pasta
